"source","target","value"
"Kangasala","Akaa",1
"Kangasala","Espoo",3
"Kangasala","Hankasalmi",1
"Kangasala","Helsinki",8
"Kangasala","Hollola",1
"Kangasala","Huittinen",1
"Kangasala","Joensuu",1
"Kangasala","Jyväskylä",11
"Kangasala","Jämsä",1
"Kangasala","Järvenpää",1
"Kangasala","Kerava",1
"Kangasala","Kokemäki",1
"Kangasala","Kotka",1
"Kangasala","Kouvola",3
"Kangasala","Kuopio",2
"Kangasala","Kurikka",1
"Kangasala","Lahti",3
"Kangasala","Lapua",1
"Kangasala","Lempäälä",11
"Kangasala","Nokia",6
"Kangasala","Orivesi",3
"Kangasala","Pirkkala",11
"Kangasala","Pori",1
"Kangasala","Pälkäne",6
"Kangasala","Sastamala",2
"Kangasala","Suomussalmi",1
"Kangasala","Säkylä",1
"Kangasala","Tampere",82
"Kangasala","Turku",4
"Kangasala","Urjala",1
"Kangasala","Uusikaupunki",3
"Kangasala","Valkeakoski",4
"Kangasala","Vantaa",3
"Kangasala","Ylöjärvi",1
"Akaa","Kangasala",1
"Espoo","Kangasala",1
"Eurajoki","Kangasala",1
"Hausjärvi","Kangasala",1
"Helsinki","Kangasala",5
"Hämeenlinna","Kangasala",2
"Ii","Kangasala",1
"Janakkala","Kangasala",1
"Joensuu","Kangasala",5
"Juupajoki","Kangasala",1
"Jyväskylä","Kangasala",8
"Jämsä","Kangasala",1
"Järvenpää","Kangasala",1
"Kajaani","Kangasala",2
"Karstula","Kangasala",1
"Kittilä","Kangasala",2
"Kouvola","Kangasala",1
"Kuopio","Kangasala",4
"Lahti","Kangasala",1
"Lapua","Kangasala",1
"Laukaa","Kangasala",5
"Lempäälä","Kangasala",9
"Loppi","Kangasala",1
"Muhos","Kangasala",1
"Nokia","Kangasala",8
"Orivesi","Kangasala",6
"Oulu","Kangasala",4
"Parkano","Kangasala",1
"Pori","Kangasala",2
"Porvoo","Kangasala",1
"Pälkäne","Kangasala",3
"Raisio","Kangasala",2
"Rauma","Kangasala",1
"Riihimäki","Kangasala",1
"Rovaniemi","Kangasala",1
"Ruovesi","Kangasala",1
"Sastamala","Kangasala",1
"Seinäjoki","Kangasala",3
"Siikalatva","Kangasala",1
"Sotkamo","Kangasala",1
"Tampere","Kangasala",103
"Turku","Kangasala",6
"Urjala","Kangasala",1
"Valkeakoski","Kangasala",2
"Vantaa","Kangasala",7
"Virrat","Kangasala",3
"Ylivieska","Kangasala",1
"Ylöjärvi","Kangasala",3
"Äänekoski","Kangasala",2
